Boardname;BigSmall Trial Count;OneFirst Trial count
board_6_6_1_1.txt;276;125
board_6_6_1_2.txt;11;11
board_6_6_1_3.txt;134;121
board_6_6_1_4.txt;23;148
board_6_6_1_5.txt;480;116
board_6_6_1_6.txt;5;53
board_6_6_1_7.txt;526;12
board_6_6_1_8.txt;505;19
board_6_6_1_9.txt;179;111
board_6_6_1_10.txt;206;9
board_6_6_1_11.txt;202;7
board_6_6_1_12.txt;313;102
board_6_6_1_13.txt;203;103
board_6_6_1_14.txt;168;57
board_6_6_1_15.txt;314;24
board_6_6_1_16.txt;564;14
board_6_6_1_17.txt;5;12
board_6_6_2_1.txt;343;167
board_6_6_2_2.txt;18;13
board_6_6_2_3.txt;411;132
board_6_6_2_4.txt;6;16
board_6_6_2_5.txt;5;76
board_6_6_2_6.txt;8;106
board_6_6_2_7.txt;378;138
board_6_6_2_8.txt;397;11
board_6_6_2_9.txt;402;119
board_6_6_3_1.txt;27;23
board_6_6_3_2.txt;421;23
board_6_6_3_3.txt;639;119
board_6_6_3_4.txt;7;58
board_6_6_3_5.txt;278;9
board_6_6_3_6.txt;5;67
board_6_6_3_7.txt;6;68
board_6_6_3_8.txt;5;47
board_6_6_3_9.txt;186;124
board_6_6_4_1.txt;235;97
board_6_6_4_2.txt;810;233
board_6_6_4_3.txt;23;12
board_6_6_4_4.txt;196;76
board_6_6_4_5.txt;5;7
board_6_6_4_6.txt;1057;312
board_6_6_4_7.txt;1118;308
board_6_6_4_8.txt;665;177
board_6_6_4_9.txt;894;160
board_6_6_4_10.txt;254;68
board_6_6_4_11.txt;21;94
board_6_6_4_12.txt;503;218
board_6_6_4_13.txt;327;99
