Boardname;BigSmall Trial Count;OneFirst Trial count;Szint (1,2)
board_6_8_1_30.txt;20;6;1
board_6_8_1_48.txt;147;6;1
board_6_8_3_19.txt;22;6;1
board_6_6_1_11.txt;202;7;1
board_6_6_4_5.txt;5;7;1
board_7_8_3_16.txt;98;7;1
board_6_8_2_30.txt;8;8;1
board_6_8_2_37.txt;8;8;1
board_6_8_4_7.txt;13;8;1
board_6_6_1_10.txt;206;9;1
board_6_6_3_5.txt;278;9;1
board_6_7_1_50.txt;1060;9;1
board_7_8_3_18.txt;131;9;1
board_7_8_3_27.txt;7;9;1
board_7_7_4_10.txt;10;10;1
board_6_6_1_2.txt;11;11;1
board_6_6_2_8.txt;397;11;1
board_6_7_1_45.txt;939;11;1
board_6_6_1_7.txt;526;12;1
board_6_6_1_17.txt;5;12;1
board_6_6_4_3.txt;23;12;1
board_6_7_1_8.txt;1928;12;1
board_6_7_2_20.txt;4242;12;1
board_6_6_2_2.txt;18;13;1
board_7_7_3_3.txt;78;13;1
board_7_8_2_69.txt;56627;13;1
board_6_6_1_16.txt;564;14;1
board_6_7_2_11.txt;4846;14;1
board_6_7_2_15.txt;4676;14;1
board_6_7_2_19.txt;15767;14;1
board_7_7_1_2.txt;8669;15;1
board_6_6_2_4.txt;6;16;1
board_6_7_1_49.txt;4292;18;1
board_7_7_4_4.txt;6;18;1
board_6_6_1_8.txt;505;19;1
board_6_7_3_10.txt;7557;19;1
board_7_8_2_22.txt;220288;20;1
board_6_6_3_1.txt;27;23;1
board_6_6_3_2.txt;421;23;1
board_6_6_1_15.txt;314;24;1
board_6_7_1_25.txt;3650;24;1
board_7_8_3_44.txt;2304;24;1
board_7_8_1_24.txt;302764;25;1
board_6_8_3_18.txt;88;27;1
board_6_7_1_35.txt;15099;28;1
board_7_7_1_1.txt;221;29;1
board_7_8_1_49.txt;73465;29;1
board_7_7_1_3.txt;20306;30;1
board_6_7_2_16.txt;53;31;1
board_6_7_3_9.txt;258;31;1
board_7_8_1_51.txt;333250;31;1
board_7_8_2_39.txt;14831;31;1
board_6_7_1_22.txt;4994;32;1
board_6_7_1_34.txt;843;32;1
board_7_7_1_8.txt;6371;32;1
board_7_8_1_39.txt;16838;32;1
board_7_7_2_10.txt;373;33;1
board_7_8_2_25.txt;9;33;1
board_6_7_1_11.txt;2798;34;1
board_6_7_2_1.txt;7448;34;1
board_7_7_4_5.txt;494;35;1
board_7_7_3_9.txt;471;36;1
board_6_7_1_16.txt;6;37;1
board_6_7_1_21.txt;110;37;1
board_7_7_2_4.txt;16530;38;1
board_7_7_1_7.txt;13893;39;1
board_6_7_4_4.txt;199;40;1
board_7_7_1_5.txt;20646;41;1
board_7_8_1_25.txt;68400;41;1
board_7_8_1_64.txt;2447;42;1
board_6_7_1_33.txt;1776;44;1
board_6_8_1_2.txt;560;44;1
board_7_8_1_18.txt;23;44;1
board_6_7_1_37.txt;46;45;1
board_6_7_2_6.txt;8299;45;1
board_6_7_1_48.txt;1788;46;1
board_7_7_1_6.txt;3891;46;1
board_6_6_3_8.txt;5;47;1
board_6_7_1_6.txt;952;48;1
board_6_8_2_12.txt;287;48;1
board_7_7_2_2.txt;42686;48;1
board_7_7_1_9.txt;29465;49;1
board_6_8_1_47.txt;189;51;1
board_7_8_2_36.txt;189587;51;1
board_6_6_1_6.txt;5;53;1
board_6_8_3_6.txt;66;53;1
board_7_8_1_19.txt;75;53;1
board_7_7_2_7.txt;289;56;1
board_7_7_4_2.txt;278;56;1
board_6_6_1_14.txt;168;57;1
board_6_6_3_4.txt;7;58;1
board_6_8_2_5.txt;20825;59;1
board_6_7_1_36.txt;84;63;1
board_6_8_2_21.txt;41598;63;1
board_6_7_1_24.txt;4589;64;1
board_6_8_2_40.txt;13586;65;1
board_6_6_3_6.txt;5;67;1
board_6_6_3_7.txt;6;68;1
board_6_6_4_10.txt;254;68;1
board_6_7_2_17.txt;1079;70;1
board_7_7_3_10.txt;612;70;1
board_7_8_1_44.txt;28271;70;1
board_6_7_3_2.txt;693;73;1
board_6_7_1_26.txt;7997;75;1
board_6_6_2_5.txt;5;76;1
board_6_6_4_4.txt;196;76;1
board_7_8_3_7.txt;52241;78;1
board_6_7_2_5.txt;4601;81;1
board_6_7_1_39.txt;1604;83;1
board_6_8_3_5.txt;222;85;1
board_6_7_3_3.txt;320;88;1
board_6_7_1_19.txt;3783;91;1
board_6_6_4_11.txt;21;94;1
board_6_6_4_1.txt;235;97;1
board_6_6_4_13.txt;327;99;1
board_6_7_2_27.txt;1336;100;1
board_7_8_2_27.txt;61801;100;1
board_6_6_1_12.txt;313;102;1
board_6_8_1_19.txt;11417;102;1
board_6_6_1_13.txt;203;103;1
board_6_7_1_18.txt;34;103;1
board_7_7_2_6.txt;6899;103;1
board_6_6_2_6.txt;8;106;1
board_6_7_1_38.txt;3362;109;1
board_6_7_1_15.txt;19;110;1
board_6_7_2_4.txt;8355;110;1
board_6_6_1_9.txt;179;111;1
board_6_7_4_2.txt;243;112;1
board_6_6_1_5.txt;480;116;1
board_6_8_2_28.txt;1303;116;1
board_7_8_3_28.txt;76878;116;1
board_6_7_1_5.txt;34;118;1
board_6_6_2_9.txt;402;119;1
board_6_6_3_3.txt;639;119;1
board_6_8_1_20.txt;13836;120;1
board_7_8_1_17.txt;380184;120;1
board_6_6_1_3.txt;134;121;1
board_7_7_1_10.txt;26820;121;1
board_7_8_1_43.txt;55525;123;1
board_6_6_3_9.txt;186;124;1
board_6_6_1_1.txt;276;125;1
board_6_7_1_27.txt;741;127;1
board_6_8_2_9.txt;974;127;1
board_7_7_2_5.txt;6866;127;1
board_6_7_1_30.txt;7;128;1
board_7_7_3_4.txt;8880;129;1
board_7_8_2_68.txt;201487;130;1
board_6_6_2_3.txt;411;132;1
board_6_7_1_46.txt;1849;134;1
board_7_8_2_29.txt;28;137;1
board_6_6_2_7.txt;378;138;1
board_7_8_1_67.txt;27821;138;1
board_6_7_1_29.txt;260;140;1
board_6_7_1_43.txt;24;142;1
board_6_6_1_4.txt;23;148;1
board_6_8_3_8.txt;18943;149;1
board_7_8_1_59.txt;56508;149;1
board_7_8_1_14.txt;83125;152;1
board_7_8_1_66.txt;1159;152;1
board_6_8_1_45.txt;26919;156;1
board_6_6_4_9.txt;894;160;1
board_6_8_1_50.txt;493;161;1
board_6_7_1_1.txt;6939;163;1
board_6_8_1_13.txt;1247;163;1
